file_name,ori,loc,phase/pattern,SSGv,SSGv,BSG,MGnv,MGv,index1
0000000474.bmp,79,0,6,0,0,0,1,0,1
0000000475.bmp,80,0,1,0,0,0,1,0,1
0000000476.bmp,80,0,2,0,0,0,1,0,1
0000000477.bmp,80,0,3,0,0,0,1,0,1
0000000478.bmp,80,0,4,0,0,0,1,0,1
0000000479.bmp,80,0,5,0,0,0,1,0,1
0000000480.bmp,80,0,6,0,0,0,1,0,1
0000000481.bmp,81,0,1,0,0,0,1,0,1
0000000482.bmp,81,0,2,0,0,0,1,0,1
0000000483.bmp,81,0,3,0,0,0,1,0,1
0000000484.bmp,81,0,4,0,0,0,1,0,1
0000000485.bmp,81,0,5,0,0,0,1,0,1
0000000486.bmp,81,0,6,0,0,0,1,0,1
0000000487.bmp,82,0,1,0,0,0,1,0,1
0000000488.bmp,82,0,2,0,0,0,1,0,1
0000000489.bmp,82,0,3,0,0,0,1,0,1
0000000490.bmp,82,0,4,0,0,0,1,0,1
0000000491.bmp,82,0,5,0,0,0,1,0,1
0000000492.bmp,82,0,6,0,0,0,1,0,1
0000000493.bmp,83,0,1,0,0,0,1,0,1
0000000494.bmp,83,0,2,0,0,0,1,0,1
0000000495.bmp,83,0,3,0,0,0,1,0,1
0000000496.bmp,83,0,4,0,0,0,1,0,1
0000000497.bmp,83,0,5,0,0,0,1,0,1
0000000498.bmp,83,0,6,0,0,0,1,0,1
0000000499.bmp,84,0,1,0,0,0,1,0,1
0000000500.bmp,84,0,2,0,0,0,1,0,1
0000000501.bmp,84,0,3,0,0,0,1,0,1
0000000502.bmp,84,0,4,0,0,0,1,0,1
0000000503.bmp,84,0,5,0,0,0,1,0,1
0000000504.bmp,84,0,6,0,0,0,1,0,1
0000000505.bmp,85,0,1,0,0,0,1,0,1
0000000506.bmp,85,0,2,0,0,0,1,0,1
0000000507.bmp,85,0,3,0,0,0,1,0,1
0000000508.bmp,85,0,4,0,0,0,1,0,1
0000000509.bmp,85,0,5,0,0,0,1,0,1
0000000510.bmp,85,0,6,0,0,0,1,0,1
