file_name,ori,loc,phase/pattern,SSGv,SSGv,BSG,MGnv,MGv
0000000315.bmp,23,2,3,1,0,0,0,0
0000000316.bmp,18,1,3,1,0,0,0,0
0000000317.bmp,15,11,3,1,0,0,0,0
0000000318.bmp,19,10,3,1,0,0,0,0
0000000319.bmp,11,9,3,1,0,0,0,0
0000000320.bmp,13,8,3,1,0,0,0,0
0000000321.bmp,29,7,3,1,0,0,0,0
0000000322.bmp,21,6,3,1,0,0,0,0
0000000323.bmp,17,5,3,1,0,0,0,0
0000000324.bmp,22,12,3,1,0,0,0,0
0000000325.bmp,15,4,4,1,0,0,0,0
0000000326.bmp,17,3,4,1,0,0,0,0
0000000327.bmp,19,2,4,1,0,0,0,0
0000000328.bmp,21,1,4,1,0,0,0,0
0000000329.bmp,18,11,4,1,0,0,0,0
0000000330.bmp,29,10,4,1,0,0,0,0
0000000331.bmp,23,9,4,1,0,0,0,0
0000000332.bmp,13,8,4,1,0,0,0,0
0000000333.bmp,25,7,4,1,0,0,0,0
0000000334.bmp,27,6,4,1,0,0,0,0
0000000335.bmp,11,5,4,1,0,0,0,0
0000000336.bmp,22,12,4,1,0,0,0,0
0000000337.bmp,15,4,4,1,0,0,0,0
0000000338.bmp,17,3,4,1,0,0,0,0
0000000339.bmp,19,2,4,1,0,0,0,0
0000000340.bmp,21,1,4,1,0,0,0,0
0000000341.bmp,18,11,4,1,0,0,0,0
0000000342.bmp,29,10,4,1,0,0,0,0
0000000343.bmp,23,9,4,1,0,0,0,0
0000000344.bmp,13,8,4,1,0,0,0,0
0000000345.bmp,25,7,4,1,0,0,0,0
0000000346.bmp,27,6,4,1,0,0,0,0
0000000347.bmp,11,5,4,1,0,0,0,0
0000000348.bmp,22,12,4,1,0,0,0,0
0000000349.bmp,15,4,4,1,0,0,0,0
0000000350.bmp,17,3,4,1,0,0,0,0
0000000351.bmp,19,2,4,1,0,0,0,0
0000000352.bmp,21,1,4,1,0,0,0,0
0000000353.bmp,18,11,4,1,0,0,0,0
0000000354.bmp,29,10,4,1,0,0,0,0
0000000355.bmp,23,9,4,1,0,0,0,0
0000000356.bmp,13,8,4,1,0,0,0,0
0000000357.bmp,25,7,4,1,0,0,0,0
0000000358.bmp,27,6,4,1,0,0,0,0
0000000359.bmp,11,5,4,1,0,0,0,0
0000000360.bmp,22,12,4,1,0,0,0,0
0000000361.bmp,29,4,5,1,0,0,0,0
0000000362.bmp,25,3,5,1,0,0,0,0
0000000363.bmp,21,2,5,1,0,0,0,0
0000000364.bmp,11,1,5,1,0,0,0,0
0000000365.bmp,22,11,5,1,0,0,0,0
0000000366.bmp,23,10,5,1,0,0,0,0
0000000367.bmp,13,9,5,1,0,0,0,0
0000000368.bmp,17,8,5,1,0,0,0,0
0000000369.bmp,19,7,5,1,0,0,0,0
0000000370.bmp,27,6,5,1,0,0,0,0
0000000371.bmp,18,5,5,1,0,0,0,0
0000000372.bmp,15,12,5,1,0,0,0,0
0000000373.bmp,29,4,5,1,0,0,0,0
0000000374.bmp,25,3,5,1,0,0,0,0
0000000375.bmp,21,2,5,1,0,0,0,0
0000000376.bmp,11,1,5,1,0,0,0,0
0000000377.bmp,22,11,5,1,0,0,0,0
0000000378.bmp,23,10,5,1,0,0,0,0
0000000379.bmp,13,9,5,1,0,0,0,0
0000000380.bmp,17,8,5,1,0,0,0,0
0000000381.bmp,19,7,5,1,0,0,0,0
0000000382.bmp,27,6,5,1,0,0,0,0
0000000383.bmp,18,5,5,1,0,0,0,0
0000000384.bmp,15,12,5,1,0,0,0,0
0000000385.bmp,29,4,5,1,0,0,0,0
0000000386.bmp,25,3,5,1,0,0,0,0
0000000387.bmp,21,2,5,1,0,0,0,0
0000000388.bmp,11,1,5,1,0,0,0,0
0000000389.bmp,22,11,5,1,0,0,0,0
0000000390.bmp,23,10,5,1,0,0,0,0
0000000391.bmp,13,9,5,1,0,0,0,0
0000000392.bmp,17,8,5,1,0,0,0,0
0000000393.bmp,19,7,5,1,0,0,0,0
0000000394.bmp,27,6,5,1,0,0,0,0
0000000395.bmp,18,5,5,1,0,0,0,0
0000000396.bmp,15,12,5,1,0,0,0,0
0000000397.bmp,27,4,6,1,0,0,0,0
0000000398.bmp,15,3,6,1,0,0,0,0
0000000399.bmp,25,2,6,1,0,0,0,0
0000000400.bmp,23,1,6,1,0,0,0,0
0000000401.bmp,18,11,6,1,0,0,0,0
0000000402.bmp,13,10,6,1,0,0,0,0
0000000403.bmp,11,9,6,1,0,0,0,0
0000000404.bmp,17,8,6,1,0,0,0,0
0000000405.bmp,19,7,6,1,0,0,0,0
0000000406.bmp,22,6,6,1,0,0,0,0
0000000407.bmp,29,5,6,1,0,0,0,0
0000000408.bmp,21,12,6,1,0,0,0,0
0000000409.bmp,27,4,6,1,0,0,0,0
0000000410.bmp,15,3,6,1,0,0,0,0
0000000411.bmp,25,2,6,1,0,0,0,0
0000000412.bmp,23,1,6,1,0,0,0,0
0000000413.bmp,18,11,6,1,0,0,0,0
0000000414.bmp,13,10,6,1,0,0,0,0
0000000415.bmp,11,9,6,1,0,0,0,0
0000000416.bmp,17,8,6,1,0,0,0,0
0000000417.bmp,19,7,6,1,0,0,0,0
0000000418.bmp,22,6,6,1,0,0,0,0
0000000419.bmp,29,5,6,1,0,0,0,0
0000000420.bmp,21,12,6,1,0,0,0,0
0000000421.bmp,27,4,6,1,0,0,0,0
0000000422.bmp,15,3,6,1,0,0,0,0
0000000423.bmp,25,2,6,1,0,0,0,0
0000000424.bmp,23,1,6,1,0,0,0,0
0000000425.bmp,18,11,6,1,0,0,0,0
0000000426.bmp,13,10,6,1,0,0,0,0
0000000427.bmp,11,9,6,1,0,0,0,0
